epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,615.378,1.75813,0.13067,1.93682,0.52331,0.18355,0.15587,0.09734,2.02476,0.13379,2.24659,0.000302408,0.000302408,0.000302408
2,1187.21,1.87571,0.01499,2.03943,0.45702,0.12945,0.06795,0.03167,2.20917,0.04065,2.44346,0.000593421,0.000593421,0.000593421
3,1740.91,1.87757,0.01281,2.05833,0.34548,0.13826,0.12289,0.0709,2.0623,0.03365,2.32175,0.000872435,0.000872435,0.000872435
4,2315.42,1.83304,0.01237,2.03193,0.30935,0.21675,0.14946,0.0915,1.95181,0.03026,2.22893,0.000855005,0.000855005,0.000855005
5,2899.05,1.79807,0.01078,1.99831,0.4302,0.20279,0.21103,0.13213,1.87688,0.02243,2.15824,0.000837007,0.000837007,0.000837007
6,3439.19,1.76498,0.01228,1.97008,0.49718,0.1697,0.222,0.14242,1.9133,0.02818,2.15137,0.000819009,0.000819009,0.000819009
7,3979.88,1.72989,0.01103,1.95159,0.59042,0.24468,0.22491,0.14479,1.83113,0.03941,2.09772,0.000801011,0.000801011,0.000801011
8,4545.64,1.70287,0.01164,1.92189,0.56968,0.24109,0.26253,0.17857,1.8043,0.03004,2.10076,0.000783013,0.000783013,0.000783013
9,5201.19,1.70555,0.01002,1.91734,0.77496,0.17632,0.2776,0.1856,1.80742,0.02092,2.09099,0.000765014,0.000765014,0.000765014
10,5908.16,1.68643,0.01044,1.90329,0.55966,0.25871,0.2756,0.1894,1.79071,0.02211,2.08325,0.000747016,0.000747016,0.000747016
11,6416.73,1.6618,0.01103,1.88883,0.41607,0.26084,0.2413,0.16681,1.80213,0.03005,2.10695,0.000729018,0.000729018,0.000729018
12,6904.1,1.63794,0.0097,1.86981,0.42651,0.29179,0.30436,0.2081,1.74195,0.02498,2.05638,0.00071102,0.00071102,0.00071102
13,7384.4,1.62817,0.00989,1.85216,0.52731,0.33344,0.32411,0.22166,1.7245,0.01959,2.03981,0.000693022,0.000693022,0.000693022
14,7872.96,1.6169,0.01049,1.851,0.52193,0.3646,0.34829,0.24476,1.74548,0.02063,2.00212,0.000675023,0.000675023,0.000675023
15,8359.65,1.60041,0.00955,1.8456,0.54785,0.30449,0.31994,0.2271,1.71751,0.02531,2.02355,0.000657025,0.000657025,0.000657025
16,8839.66,1.59596,0.00894,1.83901,0.49294,0.3626,0.33859,0.23355,1.71814,0.02289,1.98979,0.000639027,0.000639027,0.000639027
17,9322.3,1.59511,0.00869,1.82527,0.45744,0.31469,0.36211,0.26046,1.71435,0.01781,2.02308,0.000621029,0.000621029,0.000621029
18,9803.54,1.57094,0.00945,1.80462,0.60253,0.38914,0.38811,0.27396,1.69388,0.01727,1.98185,0.000603031,0.000603031,0.000603031
19,10278.6,1.56421,0.00903,1.81315,0.58876,0.37793,0.377,0.25818,1.69967,0.01735,1.99544,0.000585032,0.000585032,0.000585032
20,10752.4,1.55536,0.00851,1.79422,0.55963,0.39713,0.38688,0.26755,1.69028,0.01916,1.94521,0.000567034,0.000567034,0.000567034
21,11226.8,1.54959,0.00919,1.78532,0.60099,0.39318,0.40331,0.2838,1.67814,0.02334,1.95738,0.000549036,0.000549036,0.000549036
22,11707.5,1.53091,0.00863,1.77929,0.5556,0.43265,0.40583,0.27914,1.6843,0.01897,1.95133,0.000531038,0.000531038,0.000531038
23,12189.8,1.52562,0.00861,1.76198,0.62124,0.41164,0.41757,0.29991,1.6456,0.02114,1.93139,0.00051304,0.00051304,0.00051304
24,12675.6,1.52312,0.00822,1.762,0.59601,0.42009,0.41913,0.30372,1.67198,0.01712,1.95961,0.000495041,0.000495041,0.000495041
25,13174.1,1.50725,0.00829,1.75693,0.56538,0.44435,0.42725,0.30512,1.64743,0.01792,1.96638,0.000477043,0.000477043,0.000477043
26,13671.1,1.51887,0.00851,1.76807,0.58056,0.45135,0.42854,0.30729,1.62886,0.01633,1.93308,0.000459045,0.000459045,0.000459045
27,14162.2,1.49153,0.0086,1.74859,0.58907,0.43094,0.43116,0.30326,1.63572,0.02092,1.93088,0.000441047,0.000441047,0.000441047
28,14649.8,1.49307,0.00785,1.73781,0.61544,0.45436,0.444,0.31898,1.62475,0.01515,1.89249,0.000423049,0.000423049,0.000423049
29,15148,1.47483,0.00865,1.72343,0.57964,0.44775,0.43137,0.31316,1.6283,0.02539,1.89664,0.00040505,0.00040505,0.00040505
30,15658.5,1.4798,0.0087,1.72328,0.65545,0.45513,0.47442,0.33443,1.64932,0.01526,1.93256,0.000387052,0.000387052,0.000387052
31,16152.8,1.47575,0.00741,1.72728,0.63638,0.47486,0.47685,0.33488,1.63001,0.01967,1.91368,0.000369054,0.000369054,0.000369054
32,16636.1,1.46983,0.00826,1.72121,0.64322,0.47009,0.47948,0.34154,1.62229,0.01839,1.90774,0.000351056,0.000351056,0.000351056
33,17126.1,1.44973,0.00789,1.69873,0.65246,0.47965,0.48642,0.34274,1.61187,0.01846,1.87178,0.000333058,0.000333058,0.000333058
34,17629.7,1.44592,0.00729,1.69785,0.6601,0.49057,0.48849,0.35005,1.60158,0.01753,1.8832,0.000315059,0.000315059,0.000315059
35,18121.2,1.434,0.00751,1.68206,0.67031,0.46414,0.48789,0.35623,1.62052,0.01775,1.91376,0.000297061,0.000297061,0.000297061
36,18620.5,1.43912,0.00766,1.68591,0.66707,0.49882,0.50256,0.36093,1.61433,0.01887,1.89337,0.000279063,0.000279063,0.000279063
37,19112.6,1.42932,0.00717,1.68208,0.68416,0.48778,0.51387,0.3565,1.61028,0.01509,1.88468,0.000261065,0.000261065,0.000261065
38,19602.4,1.41542,0.00732,1.66636,0.70696,0.46699,0.5038,0.36119,1.62903,0.01524,1.9031,0.000243067,0.000243067,0.000243067
39,20090.1,1.40537,0.00755,1.6645,0.70018,0.4945,0.50828,0.36421,1.60978,0.01645,1.88282,0.000225068,0.000225068,0.000225068
40,20574.2,1.40275,0.00662,1.65532,0.72508,0.48606,0.5094,0.36645,1.60494,0.01607,1.88683,0.00020707,0.00020707,0.00020707
41,21043.9,1.35757,0.00639,1.68268,0.73324,0.47435,0.53678,0.37422,1.61497,0.01677,1.89067,0.000189072,0.000189072,0.000189072
42,21498,1.32477,0.00559,1.65383,0.70576,0.50537,0.54556,0.3713,1.60653,0.01593,1.87636,0.000171074,0.000171074,0.000171074
43,21958.6,1.30605,0.00577,1.64189,0.71589,0.51573,0.55213,0.38574,1.61421,0.01585,1.89713,0.000153076,0.000153076,0.000153076
44,22410.6,1.29906,0.00524,1.63417,0.71604,0.51468,0.54372,0.39029,1.61314,0.01455,1.89472,0.000135077,0.000135077,0.000135077
45,22865.3,1.27945,0.00545,1.61878,0.75385,0.49665,0.56025,0.38913,1.6215,0.01438,1.90148,0.000117079,0.000117079,0.000117079
46,23316.7,1.26577,0.00518,1.60598,0.72633,0.52217,0.57081,0.40387,1.61793,0.01496,1.9026,9.9081e-05,9.9081e-05,9.9081e-05
47,23767.5,1.25873,0.00498,1.60011,0.74124,0.50988,0.55144,0.39684,1.61852,0.0146,1.91206,8.10828e-05,8.10828e-05,8.10828e-05
48,24215.8,1.23771,0.005,1.58533,0.74953,0.51641,0.54931,0.39995,1.61941,0.01326,1.91531,6.30846e-05,6.30846e-05,6.30846e-05
49,24667,1.23164,0.0049,1.57103,0.74391,0.52301,0.55209,0.39867,1.61774,0.01391,1.92348,4.50864e-05,4.50864e-05,4.50864e-05
50,25141.6,1.22207,0.00511,1.57013,0.7161,0.53423,0.55168,0.39888,1.61685,0.01387,1.91832,2.70882e-05,2.70882e-05,2.70882e-05
